الرقم,القسم,المتطلب,فقرات المصدر,الحالة,مكانه في النظام,الدليل,النتيجة وما ينقص,أساس التصنيف,ضمن فجوات المطابقة
R065,البيع والطباعة,بيع وطباعة الجملة من كاشيرة الجملة,344،852-858,محلي,البيع والطباعة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,كاشيرة جملة تقسم الكمية إلى عمليات ضمن الحدود وتستأنف بالمفتاح نفسه دون تكرار. إرسال الطباعة للطابعة يبقى عبر الوصل والمحاكاة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R066,البيع والطباعة,طابعات POS وبلوتوث وسلكية مع تأكيد الجهاز,440-468،852-858,ربط,البيع والطباعة,app.js:printReceipt,لا يوجد SDK طابعة أو تطبيق جهاز. يلزم نموذج أجهزة وتجارب حقيقية؛ حالة online الحالية تجريبية.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R067,البيع والطباعة,مشاركة آمنة بدل الطباعة مع Delivery Channel,440-468،860,محلي,وصل العملية,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,تسليم البطاقات نفسها بملف مشفر وقناة ومرجع تسليم، وأداة فك تشفير محلية. لا إرسال خارجي تلقائي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R068,البيع والطباعة,منع البيع دون اتصال في الإصدار الأول,440-468،856-857,محلي,نقاط البيع، البيع,engine.js:sell,يرفض الجهاز المحدد offline محليًا. اكتشاف الاتصال الحقيقي وصحة الحالة من الخادم غير موجودين.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R069,نقاط البيع والموقع,بيانات النقطة والعنوان والاتصال والجهاز والموقع,440-468,محلي,نقاط البيع والأجهزة,app.js:schemas.pos,حقول الاسم والمالك والوكيل والهاتف والعنوان والإحداثيات والسيريال والطراز والإصدار موجودة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R070,نقاط البيع والموقع,ربط اختياري إلزامي بالجهاز ومعرف تثبيت وشهادة,440-468,ربط,نقاط البيع والأجهزة,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,واجهة ربط الجهاز والسيريال ومعرف التثبيت ومرجع الشهادة موجودة وتفرض محليًا. إصدار الشهادة والتحقق من الجهاز الحقيقي يتطلبان الربط.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R071,نقاط البيع والموقع,آخر اتصال والمستخدم المتصل والجلسات الحقيقية,440-468،705-724,ربط,نقاط البيع، المراقبة,engine.js:seed؛ index.html,البيانات المعروضة محلية/تجريبية ولا تمثل نبض أجهزة حقيقية.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R072,نقاط البيع والموقع,عرض خريطة الانتشار وتصفية وتصدير,470-484,قرار,خريطة الانتشار,index.html؛ طلب المستخدم,أوقفتَ تنفيذ خريطة الانتشار وأبقيت رسالة الربط لاحقًا. مستثناة من النواقص وخطة التغيير ولا يُعاد طلب تنفيذها.,مستثنى بقرار المستخدم,لا
R073,نقاط البيع والموقع,سياسة GPS وحدود المحافظة وسماحية واستثناء مؤقت,485-494,محلي,الأمان، نقاط البيع,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,سياسة تنبيه أو حظر للمحافظة المسجلة واستثناء زمني؛ GPS الحقيقي وتحقق سلامة الموقع ينتظران ربط الجهاز.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R074,API والخدمات,سجل مزود مرتبط بوكيل وبيئة اختبار/إنتاج,496-517,محلي,تكاملات API,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,إعداد لكل وكيل ومزود وبيئة وصلاحية وتفعيل محلي بعد اختبار.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R075,API والخدمات,إدخال Token مخفي وتدويره واختبار الاتصال,496-517,ربط,تكاملات API,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,تدوير تعريف الرمز واختبار الإعداد موجودان كمحاكاة. إصدار Token إنتاجي وخزنته واختبار اتصال المزود مسؤولية الخادم؛ لا تحفظ أسرار المزود في المتصفح.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R076,API والخدمات,مزامنة منتجات API وتفعيلها بعد الاختبار,496-517,محلي,تكاملات API، الفئات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,كتالوج منتجات للمزود مع تكلفة وسعر، يفحص ويحفظ بعد الاختبار ويستخدم في اختيار الخدمة؛ المزامنة الشبكية تنتظر API.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R077,API والخدمات,محفظة Top-up وتمويلها وسقف استهلاك النقاط,518-522,محلي,غير موجودة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,محفظة Top-up مستقلة، تمويل وخصم تكلفة الطلب مرة واحدة؛ النتيجة غير المعروفة تحفظ الحجز والفشل النهائي يعكسه.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R078,API والخدمات,محفظة الرابعة وكل مزود مع خصم التكلفة,518-522,محلي,تكاملات API، المحافظ,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,محفظة لكل API، وخصم التكلفة مع فصل السعر والربح؛ محاكاة استجابة المزود فقط.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R079,API والخدمات,حالة مجهولة واستعلام وWebhook وIdempotency,522،862-873,معلق,تكاملات API,المستند نفسه؛ app.js,المستند يقر بنقص مواصفات v2.1. يلزم عقد تكامل نهائي ثم تصميم حالات واجهة وعملية مطابقة، ولا يدّعى الربط الحالي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R080,الدعم والإشعارات,تذكرة بعنوان ووصف وأولوية ورد وإغلاق وتصعيد,526-545,محلي,الدعم الفني,app.js:saveTicket/replyTicket/ticketStatus,الدورة الأساسية محلية وقابلة للفحص، ولا يوجد إرسال خارجي تلقائي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R081,الدعم والإشعارات,مرفقات تذكرة الدعم,526-545,محلي,الدعم الفني,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,أعيد التحقق: مرفق صورة التذكرة موجود مسبقًا في نموذج فتح التذكرة وتفاصيلها؛ لم يكن نقصًا فعليًا.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R082,الدعم والإشعارات,توجيه الدعم للوكيل المباشر أولًا,526-545,محلي,الدعم الفني، الوصل,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,بيانات الدعم المباشر تعرض من الوكيل المرتبط، والتذكرة مرتبطة بوكيلها مع التصعيد للإدارة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R083,الدعم والإشعارات,إشعار عام أو مستفيد محدد مع صورة,547-567,محلي,الإشعارات والتنبيهات,app.js:sendNotification,إنشاء محلي لجمهور واحد أو الكل وصورة موجود، وليس Push خارجيًا.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R084,الدعم والإشعارات,إشعار مجموعة مختارة أو كل نقاط وكيل,547-567,محلي,الإشعارات والتنبيهات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,تحديد عدة مستلمين وإدراج فروع ونقاط الوكلاء المختارين؛ نقطة البيع ترى إشعار وكيلها.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R085,الدعم والإشعارات,تنبيهات المخزون والانتهاء والفشل والحدود,556-567،705-724,محلي,الإشعارات والتنبيهات، المراقبة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,فحص محلي للمخزون والانتهاء وفشل الطباعة، مع حد مخزون قابل للتعديل ومنع تكرار الحدث.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R086,الدعم والإشعارات,توجيه تنبيه تشغيلي وأمني وPush/بريد حسب الخطورة,724,محلي,المراقبة، الإشعارات,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,قواعد حسب الخطورة والمستلم والقناة ومدة التصعيد، وطابور مستحق لا يكرر الحدث. الداخل يسلم محليًا، والبريد وPush يبقيان جاهزين للربط دون ادعاء إرسال.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R087,التالف والتصدير,حجر البطاقات المتبقية وفتح مطالبة بسبب,578-599,محلي,التالف والمطالبات,engine.js:claim؛ test-engine.cjs,الحجر يمنع البيع ويفتح مطالبة محلية ويربطها بالدفعة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R088,التالف والتصدير,تصدير مشفر ومنع إعادة بيع الرموز المصدرة,578-599,محلي,التصدير الآمن,app.js:exportEncrypted؛ decrypt.html,تشفير AES-GCM محلي بكلمة مرور ومنع حالة Exported من إعادة التفعيل؛ لا PIN في التقرير العام.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R089,التالف والتصدير,طلب تصدير واعتماد وتنزيل محدود الصلاحية,578-599,ربط,التصدير الآمن,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,طلبات التصدير والحجر والاعتماد ومهلة إنشاء التنزيل مطبقة؛ تنزيل قابل للإلغاء من الخادم هو المتبقي، ولا يمكن إلغاء ملف سبق تنزيله.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R090,التالف والتصدير,سحب الرصيد التشغيلي المقابل للمتبقي عند الحجر/السحب,593،600-603,محلي,التالف والمطالبات، المحافظ,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,الحجر أو السحب يسحب رصيد المتبقي مرة واحدة، ويطلب استرجاع الرصيد الموزع عند عدم كفاية رصيد الرئيسي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R091,التالف والتصدير,نتائج استبدال أو تعويض أو رفض أو إعادة تفعيل,578-603,محلي,التالف والمطالبات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,نتائج إعادة تفعيل أو بديل أو تعويض أو رفض أو خسارة مرتبطة بتأثيراتها المحلية.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R092,التالف والتصدير,ربط المطالبة بدفعة بديلة واستعادة الرصيد المتفق عليه,600-603,محلي,التالف والمطالبات، الاستيراد,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,ربط المطالبة بدفعة بديلة معتمدة؛ رصيد البديل يسجل عند تحميله ويمنع استخدام الدفعة بديلًا لمطالبتين.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R093,التالف والتصدير,التعويض النقدي بقيد مستقل والخسارة بعد اعتماد,600-603,محلي,التالف والمطالبات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,التعويض إلى محفظة النقد مستقلاً؛ الخسارة والرفض يحتاجان صلاحية اعتماد خسارة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R094,التالف والتصدير,مطابقة المسحوب والمباع والبديل والمرفوض,600-603,محلي,التقارير، المطالبات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,جدول مطابقة كمية المطالبة والصادر والدفعة البديلة والتعويض والنتيجة، مع مطابقة الرصيد التشغيلي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R095,الأمان والتدقيق,مفاتيح تشغيل التطبيق والبيع والطباعة والتفعيل,605-616,محلي,الأمان والتشغيل,engine.js:require/sell؛ access.js,منع التشغيل والبيع والطباعة وتعطيل الكيانات مطبق محليًا؛ الأثر على جلسات حقيقية يحتاج خادمًا.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R096,الأمان والتدقيق,تشغيل التسجيل والدخول وإنهاء الجلسة,605-616,محلي,الأمان، نقاط البيع,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,جلسات محلية وتسجيل دخول وإبطال بعد الاستعادة، وانتهاء الخمول واشتراط جلسة للعمليات عند تفعيل السياسة. بيانات الجلسات المحفوظة لا تمنح دخولًا بعد إعادة تحميل النسخة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R097,الأمان والتدقيق,حد أدنى لإصدار التطبيق وحد أدنى لنظام التشغيل,617,محلي,الأمان والتشغيل,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,يفرض حد التطبيق ونظام التشغيل على الإصدار المحلي وفق بيانات الجهاز المسجلة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R098,الأمان والتدقيق,2FA للحساس واستعادة وبيومترية,618-650,ربط,الهوية والمستخدمون، الأمان,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,تفعيل تحقق بخطوتين وأكواد استعادة مشتقة لمرة واحدة، وتأكيد حساس لمدة خمس دقائق يفرض على الإجراءات. واجهة فحص دعم Passkey موجودة؛ التسجيل البيومتري الحقيقي يحتاج HTTPS وخادم المصادقة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R099,الأمان والتدقيق,نسيان كلمة المرور وOTP ومؤقتة وتغيير أول دخول,618-650,محلي,الهوية والمستخدمون,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,رحلة نسيان كلمة وOTP مدته دقيقتان وخمس محاولات وإعادة تعيين وإبطال الجلسات، مع تغيير أول دخول وأكواد احتياطية. قناة OTP محلية ظاهرة للاختبار وليست إرسال SMS/بريد.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R100,الأمان والتدقيق,الخمول وحظر IP وVPN ومخاطر الموقع,651-658,محلي,الأمان والتشغيل,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,انتهاء خمول فعلي للجلسات المحلية، وحظر IP وVPN في تسجيل الدخول وطلبات الجلسة وفق بيانات اختبار الشبكة. تحديد IP الحقيقي وكشف VPN/GPS لا يستنتج من المتصفح ويحتاج الربط.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R101,الأمان والتدقيق,مصادقة وصلاحيات خادم وتشفير البيانات وحماية الهجمات,618-658,ربط,جميع النظام,README.md؛ engine.js؛ staff-model.js,النسخة Frontend ومحلية. لا يثبت إخفاء الزر أو تجزئة كلمة محلية وجود حماية متعددة المستخدمين.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R102,الأمان والتدقيق,سجل من فعل ماذا ومتى وقبل/بعد بالعربي,660-682,محلي,سجل التدقيق,audit-details.js؛ engine.js:log,تسجيل الأحداث المحلية والتفاصيل العربية والبحث والتصدير موجود؛ تحقق التغطية لكل مسار عند إضافة الوحدات الناقصة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R103,الأمان والتدقيق,سجل دخول فاشل وتغيير Token وأحداث أجهزة حقيقية,660-682,ربط,سجل التدقيق,engine.js:log؛ app.js:switchUser,تبديل الحساب المحلي ليس دخولًا حقيقيًا؛ أحداث الخادم والأجهزة لا يمكن أن تنتج فعليًا قبل الربط.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R104,الأمان والتدقيق,سجل غير قابل للتلاعب مع سياسة احتفاظ,660-682,ربط,سجل التدقيق، النسخ الاحتياطي,app.js:backup؛ localStorage,لا زر حذف تدقيق في الواجهة، لكن التخزين المحلي قابل للتعديل. يلزم سجل خادمي وسياسة احتفاظ وأرشفة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R105,الأمان والتدقيق,نسخ احتياطية واستعادة مع حماية البيانات الحساسة,618-682,محلي,النسخ الاحتياطي,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,نسخ واستعادة مشفرة AES-256-GCM واشتقاق PBKDF2؛ اختبر فك التشفير ورفض كلمة خاطئة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R106,الهوية والمنصة,هوية مستقلة للوكيل والوصل,684-703,محلي,هوية الوكيل والوصل,app.js:saveBrand,الشعار واللون والدعم والنصوص متاحة. لا استنتاج بأن تطبيق POS المنفصل مخصص بالفعل.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R107,الهوية والمنصة,هوية المنصة وصفحة تعريف وخدمات وتواصل,684-703,محلي,محتوى صفحة الهبوط، صفحة المنصة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,محتوى عن المنصة والخدمات والتواصل قابل للحفظ ويظهر في صفحة المنصة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R108,الهوية والمنصة,سلايدر وأخبار متعددة وروابط تطبيقات وسياسات قانونية,684-703,محلي,محتوى صفحة الهبوط، صفحة المنصة,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,تنقل بين الأخبار النشطة وروابط تطبيقات HTTPS وسياسات الخصوصية والشروط.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R109,الهوية والمنصة,العربية والإنكليزية والكوردية لكل الصفحات,33،396-410,محلي,مبدل اللغة,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,ربط النصوص الثابتة والمخرجات في وحدات العمليات بمبدل اللغة، وإضافة 245 ترجمة تشغيلية لكل من الإنكليزية والكوردية وقاموس الأمان. لغة الوصل مستقلة. بقيت أسماء وسجلات المستخدمين بيانات كما أدخلت؛ جودة الصياغة الكوردية تستحسن مراجعتها لغويًا قبل النشر.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R110,الهوية والمنصة,واجهة جوال ولوحي وكمبيوتر,24،440-468,محلي,جميع الصفحات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,فحص الصفحات الجديدة عند عرض 390 بكسل و1440 بكسل دون تمدد أفقي للصفحة؛ الجداول تتمرر داخل حاويتها.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R111,المراقبة والتقارير,تقارير المبيعات والمخزون والأرصدة والأسعار,17-32،90،705-724,محلي,مركز التقارير الشامل,reports.js؛ test-access-reports.cjs,تقارير محلية بمرشحات وتصدير ونطاق وبيانات حساسة محكومة بالصلاحية. لا تعوض تقارير التمويل والمحاسبة الجديدة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R112,المراقبة والتقارير,مؤشرات المستخدمين والوكلاء والنقاط المتصلين,705-724؛ الصور المرجعية,ربط,المراقبة,index.html؛ engine.js:seed,تعرض بيانات تجريبية. لا قياس حضور حقيقي من الأجهزة أو جلسات خادم.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R113,المراقبة والتقارير,RPS وزمن الاستجابة وDB وAPI ومعدل الخطأ,705-724,ربط,المراقبة,index.html؛ app.js,لوحة المراقبة ليست نظام قياس فعليًا؛ ينقص تصميم بعض المقاييس والتفصيل ثم ربطها بمصادر telemetry.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R114,قرارات ومصادر,تفاصيل عقد API والأجهزة وصيغ ملفات المورد النهائية,829-873,معلق,التكاملات والاستيراد والأمان,المستند المحدّث,لا يجوز اختراع إجابات للنقاط المفتوحة. تُعتمد عينات الموردين ومواصفات الأجهزة وواجهات الربط قبل قبول التنفيذ النهائي.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
